City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
284,wilson,36.1501,-86.2833,77.52,83,75,4.61,US,1717343089
285,fort mcmurray,56.7268,-111.381,44.19,81,100,2.3,CA,1717343356
286,villa de arista,22.65,-100.8333,76.01,48,21,7.47,MX,1717343357
287,kodinsk,58.6881,99.1844,47.44,59,66,2.53,RU,1717343358
288,orcopampa,-15.2661,-72.3417,57.31,22,0,0.47,PE,1717343358
289,qoryooley,1.7878,44.53,78.64,83,99,12.33,SO,1717343359
290,leticia,-4.2153,-69.9406,84.25,74,20,6.91,CO,1717343303
291,kailua-kona,19.6406,-155.9956,75.16,86,100,4.61,US,1717343361
292,arteche,12.2645,125.4048,80.29,84,4,3.04,PH,1717343361
293,resplendor,-19.3256,-41.2553,84.36,36,14,6.11,BR,1717343362
294,mengyin,35.7069,117.9264,74.12,40,86,4.61,CN,1717343363
295,san antonio de pale,-1.4014,5.6325,78.93,77,87,14.2,GQ,1717343364
296,volosovo,59.4333,29.4833,76.19,77,96,3.74,RU,1717343365
297,belyy yar,53.6039,91.3903,51.69,66,0,6.71,RU,1717343365
298,tura,25.5198,90.2201,75.58,97,4,6.51,IN,1717343366
299,upper grand lagoon,30.1633,-85.7408,83.03,77,20,8.05,US,1717343367
300,singkil,-7.9855,111.4161,76.01,91,14,4.5,ID,1717343367
301,hecun,36.5333,114.1111,75.49,43,97,6.67,CN,1717343368
302,tommot,58.9564,126.2925,45.63,61,1,4.03,RU,1717343369
303,tashtagol,52.7657,87.8894,52.52,75,64,5.01,RU,1717343369
304,labuan bajo,-8.4964,119.8877,78.66,87,54,5.39,ID,1717343370
305,harper,4.375,-7.7169,80.53,86,83,7.36,LR,1717343371
306,geraldton,-28.7667,114.6,63.01,72,40,8.05,AU,1717343372
307,naze,28.3667,129.4833,65.32,69,100,5.53,JP,1717343372
308,klyuchi,52.2667,79.1667,57.04,50,100,6.17,RU,1717343373
309,parun,35.4207,70.9221,44.22,54,0,3.76,AF,1717343373
310,ikryanoye,46.0932,47.7308,84.18,39,74,2.73,RU,1717343374
311,qarauyl,48.9451,79.255,52.57,86,29,15.08,KZ,1717343375
312,santa cruz,-17.8,-63.1667,82.45,57,40,20.71,BO,1717343128
313,i-n-salah,27.1935,2.4607,106.79,8,0,22.86,DZ,1717343376
314,hithadhoo,-0.6,73.0833,83.91,74,49,5.23,MV,1717343377
315,zhaoyuan,37.3592,120.3964,68.14,41,89,3.8,CN,1717343378
316,ad dilam,23.9915,47.1627,109.81,8,0,10.02,SA,1717343378
317,darab,28.7519,54.5444,92.84,8,0,5.06,IR,1717343379
318,lebyazh'ye,55.2689,66.4947,57.56,70,94,7.87,RU,1717343380
319,marsh harbour,26.5412,-77.0636,78.82,59,89,15.73,BS,1717343381
320,cabedelo,-6.9811,-34.8339,84.87,72,35,15.39,BR,1717343382
321,kili,5.6439,169.1211,82.87,81,97,16.33,MH,1717343383
322,kenai,60.5544,-151.2583,50.09,68,100,8.05,US,1717343383
323,brookings,44.3114,-96.7984,68.18,76,75,14.97,US,1717343384
324,bengkulu,-3.8004,102.2655,77.52,91,83,4.23,ID,1717343385
325,bani walid,31.7566,13.9942,95.94,25,93,21.79,LY,1717343385
326,la cruz,23.9167,-106.9,84.24,56,90,5.1,MX,1717343332
327,natal,-5.795,-35.2094,86.65,66,40,20.71,BR,1717343211
328,hamar,60.7945,11.068,75.13,45,96,1.88,NO,1717343387
329,rusape,-18.5278,32.1284,64.83,42,23,5.19,ZW,1717343388
330,dunedin,-45.8742,170.5036,46.8,71,75,8.99,NZ,1717343389
331,timmins,48.4669,-81.3331,67.82,60,40,6.91,CA,1717343278
332,karaton,-6.3424,106.1045,74.68,96,78,1.63,ID,1717343390
333,laguna,38.421,-121.4238,70.29,67,0,5.75,US,1717343391
334,terrace,54.5163,-128.6035,49.91,100,100,2.3,CA,1717343187
335,kolyvan',55.3053,82.7391,60.42,67,99,5.84,RU,1717343392
336,gulu,2.7746,32.299,75.76,64,53,0.4,UG,1717343393
337,jwaneng,-24.6004,24.7303,72.28,20,56,14.05,BW,1717343393
338,kidal,18.4411,1.4078,109.42,7,1,5.75,ML,1717343394
339,portland,45.5234,-122.6762,61.92,80,100,11.5,US,1717343232
340,ujae,8.9322,165.7642,82.98,82,81,17.74,MH,1717343395
341,bathsheba,13.2167,-59.5167,83.01,89,40,19.57,BB,1717343396
342,mata-utu,-13.2816,-176.1745,81.57,78,81,25.64,WF,1717343397
343,new norfolk,-42.7826,147.0587,48.7,86,77,1.57,AU,1717343377
344,bonthe,7.5264,-12.505,84.11,74,64,10.16,SL,1717343398
345,gizo,-8.103,156.8419,79.72,81,100,4.32,SB,1717343399
346,ongjin,37.9347,125.3619,61.65,62,9,4.41,KP,1717343400
347,edd,13.9297,41.6925,87.21,68,57,6.46,ER,1717343400
348,arrifes,37.7667,-25.7,70.05,83,20,11.5,PT,1717343401
349,praia,14.9215,-23.5087,81.14,54,40,20.71,CV,1717343402
350,jutai,-5.1833,-68.9,90.82,46,39,3.29,BR,1717343403
351,berdigestyakh,62.0989,126.6992,49.01,58,14,5.06,RU,1717343404
352,debark',13.1561,37.8981,70.61,25,78,2.82,ET,1717343404
353,twon-brass,4.3151,6.2418,81.75,80,100,14.47,NG,1717343405
354,yekaterinoslavka,50.3734,129.1139,55.26,74,31,7.7,RU,1717343407
355,eraan,9.0629,117.7016,80.2,88,100,4.56,PH,1717343408
356,tazovsky,67.4667,78.7,25.66,95,31,10.33,RU,1717343408
357,zdzieszowice,50.4248,18.1235,66.69,74,43,8.3,PL,1717343409
358,jijel,36.8205,5.7667,71.55,60,20,5.75,DZ,1717343410
359,doctor arroyo,23.6667,-100.1833,81.09,31,7,13.38,MX,1717343410
360,mount isa,-20.7333,139.5,44.37,87,16,4.61,AU,1717343411
361,kimbe,-5.5502,150.1429,76.23,91,94,3.02,PG,1717343412
362,orastie,45.8333,23.2,73.08,64,56,3.49,RO,1717343412
363,aljubarrota,39.5672,-8.9293,92.1,76,0,8.99,PT,1717343413
364,nykoping,58.753,17.0079,79.09,44,0,6.91,SE,1717343414
365,goundam,16.4145,-3.6708,108.57,16,0,7.72,ML,1717343415
